Bias,Positive_Count,Negative_Count,Label
1,4766,344,1
1,3569,2,1
1,3642,70,1
1,930,257,1
1,4052,306,1
1,3910,206,1
1,1126,593,1
1,3976,423,1
1,3848,167,1
1,3767,70,1
1,3981,155,1
1,3808,482,1
1,5600,813,1
1,3935,342,1
1,3848,92,1
1,234,120,1
1,750,38,1
1,3916,298,1
1,4096,484,1
1,19,25,1
1,979,222,1
1,705,7,1
1,5036,705,1
1,3644,73,1
1,381,262,1
1,641,7,1
1,4225,751,1
1,3759,67,1
1,3727,63,1
1,1053,311,1
1,3570,7,1
1,1047,585,1
1,3704,90,1
1,4077,500,1
1,1512,245,1
1,4655,521,1
1,779,41,1
1,4457,825,1
1,1224,272,1
1,2363,735,1
1,3914,398,1
1,959,220,1
1,5226,855,1
1,4054,418,1
1,4505,313,1
1,846,242,1
1,3659,62,1
1,4700,475,1
1,747,39,1
1,3860,187,1
1,4192,119,1
1,3977,242,1
1,4684,425,1
1,147,11,1
1,797,134,1
1,3799,295,1
1,3957,420,1
1,4475,487,1
1,3579,6,1
1,740,61,1
1,843,25,1
1,1933,692,1
1,749,39,1
1,5600,813,1
1,3577,10,1
1,1345,149,1
1,3799,318,1
1,3770,216,1
1,3790,253,1
1,3980,511,1
1,3893,234,1
1,985,138,1
1,406,222,1
1,692,24,1
1,3946,169,1
1,3792,116,1
1,3641,7,1
1,5600,813,1
1,4440,539,1
1,4322,672,1
1,4188,468,1
1,4815,715,1
1,3669,33,1
1,3825,218,1
1,3672,34,1
1,4503,690,1
1,3605,57,1
1,4103,379,1
1,793,31,1
1,3597,26,1
1,4478,852,1
1,7736,510,1
1,3768,92,1
1,1871,1134,1
1,3802,328,1
1,3751,288,1
1,61,14,1
1,4672,506,1
1,3764,161,1
1,381,262,1
1,1316,108,1
1,3572,11,1
1,876,251,1
1,3663,73,1
1,4249,144,1
1,3943,214,1
1,383,243,1
1,7624,511,1
1,4035,148,1
1,4655,521,1
1,3859,126,1
1,897,369,1
1,4207,250,1
1,822,355,1
1,4243,121,1
1,4152,653,1
1,4314,609,1
1,965,280,1
1,4652,397,1
1,781,112,1
1,4537,411,1
1,825,297,1
1,3804,204,1
1,1199,257,1
1,4669,540,1
1,710,73,1
1,4556,569,1
1,5600,813,1
1,1102,265,1
1,4188,109,1
1,988,145,1
1,701,1,1
1,4302,158,1
1,5600,813,1
1,3878,247,1
1,4441,924,1
1,3577,7,1
1,3818,244,1
1,4790,241,1
1,4099,556,1
1,3722,57,1
1,763,86,1
1,474,530,1
1,1034,343,1
1,11400,722,1
1,3649,137,1
1,3995,183,1
1,3685,289,1
1,4144,450,1
1,3584,8,1
1,3669,33,1
1,3728,137,1
1,4505,589,1
1,4770,539,1
1,4672,506,1
1,4190,597,1
1,3903,273,1
1,3606,34,1
1,4287,531,1
1,4420,932,1
1,3745,148,1
1,3608,14,1
1,3895,39,1
1,989,301,1
1,1045,665,1
1,3930,43,1
1,1199,540,1
1,3578,18,1
1,94,64,1
1,3595,2,1
1,4282,756,1
1,3691,170,1
1,3792,286,1
1,1449,138,1
1,4224,114,1
1,3828,241,1
1,1348,72,1
1,1153,257,1
1,841,25,1
1,1249,107,1
1,4645,397,1
1,4269,189,1
1,3643,11,1
1,196,32,1
1,3915,240,1
1,4343,619,1
1,800,79,1
1,1210,434,1
1,3847,385,1
1,1127,405,1
1,3759,147,1
1,1228,548,1
1,0,0,1
1,1249,107,1
1,3751,250,1
1,5226,855,1
1,3653,91,1
1,3616,8,1
1,4140,550,1
1,4608,337,1
1,4218,729,1
1,1197,620,1
1,0,0,1
1,3989,161,1
1,3839,133,1
1,3611,52,1
1,1249,107,1
1,3990,181,1
1,206,232,1
1,4082,442,1
1,3695,288,1
1,3994,387,1
1,630,1,1
1,4191,845,1
1,1207,370,1
1,711,17,1
1,3713,133,1
1,4304,692,1
1,4252,763,1
1,3750,103,1
1,1396,771,1
1,4032,348,1
1,3579,13,1
1,3584,22,1
1,1128,73,1
1,3869,334,1
1,3592,11,1
1,3584,9,1
1,4444,573,1
1,4095,559,1
1,3731,45,1
1,3859,115,1
1,3663,56,1
1,4133,411,1
1,3590,24,1
1,4009,277,1
1,3587,4,1
1,3570,2,1
1,917,63,1
1,1334,708,1
1,3571,10,1
1,3695,217,1
1,4206,333,1
1,3598,39,1
1,790,149,1
1,3683,158,1
1,4053,537,1
1,4061,548,1
1,3595,2,1
1,3575,22,1
1,695,45,1
1,3569,2,1
1,4101,563,1
1,4290,139,1
1,3587,11,1
1,3677,137,1
1,3864,302,1
1,436,337,1
1,3595,14,1
1,527,409,1
1,3639,36,1
1,3659,33,1
1,3999,531,1
1,3747,186,1
1,381,262,1
1,3644,80,1
1,4189,109,1
1,3800,219,1
1,3624,43,1
1,1011,152,1
1,713,10,1
1,3885,355,1
1,3862,53,1
1,1050,477,1
1,1451,653,1
1,656,26,1
1,4345,293,1
1,3688,101,1
1,3728,290,1
1,4986,542,1
1,3902,177,1
1,3684,50,1
1,1111,438,1
1,635,2,1
1,3734,92,1
1,381,262,1
1,4667,493,1
1,3606,27,1
1,4535,450,1
1,7366,126,1
1,3594,19,1
1,1031,619,1
1,4621,498,1
1,3700,112,1
1,3606,7,1
1,1,0,1
1,3691,106,1
1,3811,152,1
1,4086,297,1
1,4277,248,1
1,309,131,1
1,1386,507,1
1,3805,305,1
1,3852,266,1
1,1315,111,1
1,1011,362,1
1,3737,142,1
1,4188,109,1
1,716,20,1
1,3975,346,1
1,294,147,1
1,3689,139,1
1,3906,456,1
1,1169,559,1
1,3871,166,1
1,637,1,1
1,995,151,1
1,1672,392,1
1,4297,523,1
1,3851,315,1
1,3712,137,1
1,3844,232,1
1,3615,14,1
1,3799,199,1
1,5427,739,1
1,4519,365,1
1,489,240,1
1,4465,419,1
1,3781,167,1
1,381,262,1
1,3902,544,1
1,3780,27,1
1,3801,230,1
1,3643,53,1
1,3599,19,1
1,870,150,1
1,3629,41,1
1,813,81,1
1,3815,248,1
1,3758,176,1
1,4672,506,1
1,3839,136,1
1,5600,813,1
1,3568,2,1
1,3641,7,1
1,3607,40,1
1,674,5,1
1,1448,23,1
1,683,36,1
1,3695,102,1
1,4023,236,1
1,3643,11,1
1,651,22,1
1,3633,17,1
1,4009,274,1
1,4228,136,1
1,3700,53,1
1,3764,136,1
1,8272,966,1
1,3686,94,1
1,3570,3,1
1,3798,94,1
1,3645,109,1
1,4229,450,1
1,4645,397,1
1,3571,2,1
1,760,67,1
1,4161,595,1
1,559,482,1
1,4219,422,1
1,3822,426,1
1,7152,16,1
1,4509,413,1
1,3606,31,1
1,3651,75,1
1,838,90,1
1,3700,151,1
1,3739,165,1
1,948,321,1
1,4233,20,1
1,4590,653,1
1,3609,36,1
1,3984,374,1
1,3804,230,1
1,1587,363,1
1,730,122,1
1,4012,197,1
1,3914,204,1
1,4188,109,1
1,1501,394,1
1,651,2,1
1,5020,458,1
1,3596,11,1
1,4190,696,1
1,3732,82,1
1,4085,222,1
1,3593,27,1
1,3677,202,1
1,4257,300,1
1,43,39,1
1,4084,355,1
1,707,16,1
1,3664,57,1
1,3570,2,1
1,3953,436,1
1,50,41,1
1,999,227,1
1,3867,301,1
1,3673,24,1
1,264,395,1
1,3575,2,1
1,657,22,1
1,3612,30,1
1,3571,13,1
1,8223,518,1
1,989,347,1
1,4294,218,1
1,3968,154,1
1,3972,440,1
1,3754,42,1
1,3668,55,1
1,4015,418,1
1,3759,67,1
1,3632,44,1
1,4277,676,1
1,3733,128,1
1,3772,212,1
1,4209,681,1
1,3762,192,1
1,3741,81,1
1,381,262,1
1,970,118,1
1,11128,205,1
1,648,12,1
1,4344,562,1
1,1954,729,1
1,4343,262,1
1,3968,154,1
1,3677,87,1
1,4655,424,1
1,3793,148,1
1,1063,338,1
1,631,0,1
1,3873,90,1
1,4788,659,1
1,4911,552,1
1,3994,159,1
1,3679,45,1
1,3643,11,1
1,1014,278,1
1,4072,259,1
1,632,567,1
1,3895,386,1
1,756,553,1
1,4711,698,1
1,1090,343,1
1,697,0,1
1,4296,785,1
1,705,7,1
1,4072,483,1
1,3702,27,1
1,4382,557,1
1,4325,335,1
1,4598,168,1
1,4049,410,1
1,3638,12,1
1,4242,128,1
1,3590,5,1
1,4188,109,1
1,4816,493,1
1,3799,67,1
1,4189,109,1
1,633,4,1
1,4157,397,1
1,3659,44,1
1,1225,524,1
1,3569,2,1
1,3582,7,1
1,3754,119,1
1,3763,189,1
1,1554,497,1
1,3568,2,1
1,4216,138,1
1,3833,513,1
1,3576,2,1
1,3761,331,1
1,3869,287,1
1,3699,292,1
1,653,28,1
1,634,5,1
1,3584,24,1
1,4304,250,1
1,3774,134,1
1,3646,77,1
1,4465,495,1
1,4406,449,1
1,3596,21,1
1,4552,437,1
1,4487,912,1
1,3627,15,1
1,4561,509,1
1,3644,28,1
1,4213,125,1
1,157,20,1
1,3697,16,1
1,4631,867,1
1,3639,25,1
1,4084,328,1
1,4922,673,1
1,864,98,1
1,8805,1378,1
1,3596,19,1
1,3911,429,1
1,630,0,1
1,1122,286,1
1,1607,532,1
1,3893,392,1
1,631,0,1
1,3740,24,1
1,4606,201,1
1,264,395,1
1,863,285,1
1,1312,107,1
1,1048,382,1
1,4455,443,1
1,1312,107,1
1,3587,9,1
1,3817,238,1
1,3759,377,1
1,3874,354,1
1,1034,343,1
1,3697,78,1
1,4244,302,1
1,1081,234,1
1,234,384,1
1,810,296,1
1,7940,223,1
1,3595,2,1
1,381,262,1
1,4320,836,1
1,4213,419,1
1,714,24,1
1,1215,201,1
1,3732,90,1
1,708,50,1
1,3752,35,1
1,1100,303,1
1,3755,142,1
1,3785,348,1
1,4035,582,1
1,3570,2,1
1,4011,475,1
1,3890,168,1
1,669,48,1
1,3591,5,1
1,667,5,1
1,981,504,1
1,3692,35,1
1,333,354,1
1,3605,27,1
1,1071,388,1
1,3968,154,1
1,4203,1109,1
1,899,218,1
1,3949,356,1
1,1282,107,1
1,3768,92,1
1,4235,628,1
1,3588,13,1
1,4001,195,1
1,3831,307,1
1,3972,154,1
1,1794,179,1
1,3610,41,1
1,1839,683,1
1,943,216,1
1,3721,86,1
1,3666,147,1
1,805,113,1
1,61,14,1
1,671,25,1
1,3772,154,1
1,3864,344,1
1,3732,294,1
1,3572,4,1
1,1358,118,1
1,3772,156,1
1,4276,153,1
1,2076,0,1
1,3645,50,1
1,3805,72,1
1,4074,516,1
1,670,66,1
1,694,0,1
1,5100,850,1
1,1069,201,1
1,3797,400,1
1,4380,179,1
1,3648,50,1
1,3874,149,1
1,893,141,1
1,1707,1362,1
1,1338,913,1
1,3815,336,1
1,3624,44,1
1,3612,19,1
1,1019,37,1
1,3791,124,1
1,3837,109,1
1,4188,109,1
1,4076,192,1
1,4069,362,1
1,4162,631,1
1,3626,33,1
1,4077,307,1
1,4192,112,1
1,1746,881,1
1,3796,171,1
1,3597,21,1
1,5226,855,1
1,4141,608,1
1,1723,465,1
1,3716,405,1
1,4070,393,1
1,4473,157,1
1,4256,131,1
1,4029,452,1
1,642,11,1
1,3820,315,1
1,1690,696,1
1,4152,582,1
1,857,235,1
1,763,28,1
1,1160,236,1
1,224,45,1
1,972,386,1
1,1475,580,1
1,3968,717,1
1,827,87,1
1,3702,113,1
1,641,3,1
1,3917,226,1
1,642,0,1
1,3619,44,1
1,1382,662,1
1,4027,517,1
1,3851,356,1
1,3571,4,1
1,1097,154,1
1,3588,29,1
1,161,22,1
1,3970,155,1
1,3644,11,1
1,4789,431,1
1,3597,64,1
1,3572,9,1
1,3978,158,1
1,3905,419,1
1,3577,7,1
1,3742,134,1
1,849,99,1
1,1635,345,1
1,3571,4,1
1,928,338,1
1,4314,233,1
1,3715,109,1
1,3831,262,1
1,3773,158,1
1,3573,2,1
1,4341,792,1
1,707,53,1
1,3724,76,1
1,3762,272,1
1,3783,232,1
1,1408,337,1
1,3639,44,1
1,786,46,1
1,3916,238,1
1,997,162,1
1,906,236,1
1,4354,258,1
1,5600,813,1
1,3751,345,1
1,7750,404,1
1,900,116,1
1,3774,182,1
1,3733,94,1
1,3802,88,1
1,4509,413,1
1,4928,1195,1
1,4008,393,1
1,4333,190,1
1,3704,149,1
1,3792,160,1
1,4442,222,1
1,4157,470,1
1,723,73,1
1,3965,355,1
1,3667,161,1
1,4070,498,1
1,3803,179,1
1,3655,133,1
1,199,96,1
1,4230,125,1
1,3988,394,1
1,3589,11,1
1,4622,964,1
1,3756,241,1
1,4265,379,1
1,955,238,1
1,3758,302,1
1,3605,34,1
1,3824,466,1
1,4299,266,1
1,381,262,1
1,3795,169,1
1,3611,38,1
1,3864,340,1
1,5226,855,1
1,3624,54,1
1,1793,1080,1
1,3903,216,1
1,3618,82,1
1,711,0,1
1,3582,4,1
1,3654,52,1
1,3860,300,1
1,659,9,1
1,381,262,1
1,139,0,1
1,4193,110,1
1,4017,368,1
1,829,172,1
1,3771,264,1
1,4032,353,1
1,1189,449,1
1,3703,113,1
1,3873,381,1
1,3591,7,1
1,3689,105,1
1,4551,344,1
1,3861,281,1
1,5100,850,1
1,3975,161,1
1,381,262,1
1,3878,129,1
1,3798,78,1
1,766,796,1
1,3756,147,1
1,3587,9,1
1,3985,257,1
1,525,340,1
1,4144,661,1
1,672,56,1
1,1122,196,1
1,3745,86,1
1,4572,761,1
1,993,59,1
1,1312,326,1
1,4022,413,1
1,381,262,1
1,4702,783,1
1,3947,142,1
1,853,134,1
1,4183,493,1
1,3590,28,1
1,629,0,1
1,3686,85,1
1,4569,371,1
1,4028,383,1
1,3632,16,1
1,3638,34,1
1,4185,501,1
1,739,123,1
1,4400,171,1
1,3642,53,1
1,3658,63,1
1,3956,310,1
1,714,133,1
1,4049,225,1
1,664,48,1
1,3753,141,1
1,806,35,1
1,1275,660,1
1,4061,388,1
1,3620,28,1
1,4077,489,1
1,3924,311,1
1,1092,152,1
1,867,109,1
1,4736,294,1
1,4175,637,1
1,425,308,1
1,1096,658,1
1,4057,293,1
1,1218,976,1
1,667,5,1
1,7659,317,1
1,898,148,1
1,5318,637,1
1,4174,277,1
1,3807,237,1
1,636,5,1
1,819,46,1
1,196,44,1
1,767,60,1
1,813,343,1
1,3925,298,1
1,3648,153,1
1,4063,200,1
1,708,12,1
1,831,121,1
1,1145,465,1
1,138,0,1
1,1376,126,1
1,3759,67,1
1,635,5,1
1,4134,413,1
1,3570,2,1
1,3854,50,1
1,703,3,1
1,4213,131,1
1,4236,456,1
1,3677,202,1
1,61,14,1
1,381,262,1
1,3904,422,1
1,1043,443,1
1,4005,394,1
1,4047,386,1
1,4180,470,1
1,1847,1020,1
1,3576,5,1
1,937,323,1
1,381,262,1
1,3743,24,1
1,3915,398,1
1,705,0,1
1,4193,109,1
1,381,262,1
1,3626,29,1
1,4510,468,1
1,4371,521,1
1,4189,109,1
1,3753,127,1
1,632,4,1
1,3711,297,1
1,3582,13,1
1,58,50,1
1,5600,813,1
1,93,60,1
1,3801,257,1
1,4157,470,1
1,5226,855,1
1,3687,147,1
1,3650,59,1
1,3884,127,1
1,7277,219,1
1,3582,18,1
1,328,128,1
1,694,0,1
1,7354,214,1
1,3603,4,1
1,4287,202,1
1,3627,31,1
1,3651,112,1
1,632,0,1
1,4672,506,1
1,3622,10,1
1,3973,514,1
1,7545,345,1
1,3712,185,1
1,3616,37,1
1,4674,436,1
1,3721,274,1
1,1005,126,1
1,4560,148,1
1,3794,207,1
1,1297,482,1
1,3570,3,1
1,3844,136,1
1,731,24,1
1,3599,3,1
1,800,156,1
1,3818,286,1
1,4012,169,1
1,188,62,1
1,3710,126,1
1,307,290,1
1,4026,713,1
1,769,231,1
1,4468,353,1
1,3599,43,1
1,3608,46,1
1,4126,261,1
1,3650,37,1
1,163,7,1
1,3579,48,1
1,3626,35,1
1,4091,209,1
1,678,51,1
1,4144,235,1
1,5226,855,1
1,1249,385,1
1,1299,626,1
1,782,195,1
1,3785,186,1
1,3925,110,1
1,3923,366,1
1,4594,831,1
1,4234,7,1
1,4033,291,1
1,4109,465,1
1,4221,456,1
1,4025,392,1
1,3571,4,1
1,4626,283,1
1,862,195,1
1,3708,133,1
1,4154,389,1
1,3615,14,1
1,848,29,1
1,858,75,1
1,4224,125,1
1,3571,2,1
1,3744,282,1
1,4860,312,1
1,11208,585,1
1,690,46,1
1,4600,449,1
1,4672,506,1
1,4754,396,1
1,1312,107,1
1,3688,76,1
1,4189,110,1
1,3683,162,1
1,863,229,1
1,1031,132,1
1,4220,121,1
1,3834,139,1
1,931,172,1
1,3569,2,1
1,4148,221,1
1,141,0,1
1,4079,360,1
1,3638,9,1
1,1419,588,1
1,4020,307,1
1,153,53,1
1,3941,174,1
1,3586,7,1
1,859,164,1
1,4091,902,1
1,3739,24,1
1,3578,2,1
1,620,107,1
1,3575,6,1
1,7892,405,1
1,1046,329,1
1,4458,111,1
1,4306,227,1
1,4297,523,1
1,1294,873,1
1,4297,523,1
1,266,166,1
1,1312,107,1
1,4188,109,1
1,3856,280,1
1,7837,516,1
1,3836,446,1
1,4473,999,1
1,4228,377,1
1,834,45,1
1,753,38,1
1,3635,62,1
1,5226,855,1
1,4428,551,1
1,4843,430,1
1,3596,28,1
1,381,262,1
1,4253,325,1
1,87,69,1
1,5226,855,1
1,4425,1107,1
1,3585,10,1
1,818,197,1
1,4188,109,1
1,1336,154,1
1,819,341,1
1,728,15,1
1,3825,107,1
1,3754,48,1
1,386,266,1
1,4259,771,1
1,642,21,1
1,3731,94,1
1,793,246,1
1,4282,646,1
1,3583,58,1
1,4193,268,1
1,4108,237,1
1,381,262,1
1,0,0,1
1,3647,7,1
1,5600,813,1
1,4300,859,1
1,3929,72,1
1,671,34,1
1,833,195,1
1,785,247,1
1,283,120,1
1,3794,242,1
1,4003,311,1
1,3875,155,1
1,3575,22,1
1,699,17,1
1,4783,659,1
1,1540,344,1
1,3615,92,1
1,668,5,1
1,5600,813,1
1,159,76,1
1,3939,331,1
1,4602,373,1
1,3842,304,1
1,4007,601,1
1,3890,365,1
1,3759,67,1
1,982,262,1
1,3619,51,1
1,4058,389,1
1,874,156,1
1,1169,391,1
1,3949,454,1
1,3635,143,1
1,3640,47,1
1,4145,215,1
1,3826,172,1
1,4240,440,1
1,3879,140,1
1,3800,416,1
1,7641,406,1
1,4094,389,1
1,4151,428,1
1,739,51,1
1,3849,212,1
1,3629,95,1
1,1142,379,1
1,4013,510,1
1,1081,230,1
1,4456,368,1
1,7562,439,1
1,3591,12,1
1,4045,194,1
1,3826,218,1
1,1069,181,1
1,3746,209,1
1,3678,112,1
1,4189,109,1
1,3834,255,1
1,4277,153,1
1,880,118,1
1,4260,148,1
1,4223,114,1
1,3842,499,1
1,4509,413,1
1,3721,224,1
1,3977,113,1
1,3649,53,1
1,3626,136,1
1,1034,424,1
1,724,28,1
1,3946,208,1
1,3591,14,1
1,4203,132,1
1,1138,439,1
1,7139,26,1
1,3678,120,1
1,7147,49,1
1,3641,7,1
1,3622,26,1
1,4387,247,1
1,4583,765,1
1,4672,506,1
1,687,23,1
1,4672,506,1
1,4188,109,1
1,3904,378,1
1,4877,441,1
1,3692,73,1
1,3576,5,1
1,803,124,1
1,3587,39,1
1,4446,258,1
1,7912,750,1
1,4149,477,1
1,3688,163,1
1,3574,3,1
1,3633,51,1
1,708,28,1
1,3630,26,1
1,4234,120,1
1,4321,139,1
1,3572,2,1
1,831,57,1
1,3679,66,1
1,3642,41,1
1,3865,334,1
1,5125,1147,1
1,886,397,1
1,1438,1217,1
1,3684,14,1
1,381,262,1
1,3992,372,1
1,3738,217,1
1,1036,202,1
1,3960,106,1
1,4509,413,1
1,4230,346,1
1,3611,10,1
1,3744,195,1
1,823,181,1
1,1075,262,1
1,4188,109,1
1,4191,111,1
1,773,27,1
1,692,0,1
1,1017,408,1
1,4223,114,1
1,4117,184,1
1,5226,855,1
1,4768,458,1
1,4848,1282,1
1,3595,2,1
1,3927,469,1
1,4084,593,1
1,3903,439,1
1,3944,458,1
1,3776,371,1
1,3642,41,1
1,4043,217,1
1,4091,289,1
1,1019,37,1
1,4135,407,1
1,934,378,1
1,5051,558,1
1,3588,9,1
1,1597,435,1
1,11756,1156,1
1,1023,306,1
1,639,5,1
1,5212,701,1
1,4009,271,1
1,3677,104,1
1,3701,247,1
1,3592,40,1
1,632,2,1
1,3671,35,1
1,4033,373,1
1,4189,109,1
1,3608,66,1
1,4884,605,1
1,754,69,1
1,3882,218,1
1,3940,227,1
1,3740,139,1
1,155,4,1
1,635,7,1
1,3785,233,1
1,4188,109,1
1,752,99,1
1,4258,435,1
1,5371,867,1
1,782,13,1
1,7140,7,1
1,7999,258,1
1,3741,142,1
1,744,97,1
1,233,118,1
1,4196,118,1
1,797,94,1
1,7667,586,1
1,381,262,1
1,693,43,1
1,4499,616,1
1,4232,708,1
1,3716,112,1
1,3718,232,1
1,5600,813,1
1,652,3,1
1,3583,22,1
1,3635,58,1
1,3745,77,1
1,1374,134,1
1,3920,313,1
1,3641,7,1
1,1049,188,1
1,1182,401,1
1,4041,517,1
1,3937,641,1
1,3596,18,1
1,111,83,1
1,1019,37,1
1,381,262,1
1,4243,121,1
1,3907,245,1
1,4361,429,1
1,1439,250,1
1,3619,54,1
1,4664,793,1
1,3896,187,1
1,3649,48,1
1,3592,12,1
1,836,169,1
1,4188,109,1
1,876,240,1
1,5250,1042,1
1,4102,612,1
1,4191,325,1
1,629,0,1
1,3804,254,1
1,3785,336,1
1,4007,176,1
1,413,244,1
1,3612,100,1
1,792,656,1
1,3699,39,1
1,3667,70,1
1,4006,82,1
1,776,188,1
1,889,293,1
1,3985,154,1
1,4225,329,1
1,1407,82,1
1,4224,433,1
1,3700,75,1
1,17964,328,1
1,4198,122,1
1,3709,133,1
1,5600,813,1
1,4062,241,1
1,3692,22,1
1,3703,73,1
1,5046,902,1
1,3933,168,1
1,3672,33,1
1,4081,507,1
1,648,15,1
1,3717,89,1
1,662,79,1
1,708,12,1
1,3712,28,1
1,4618,779,1
1,3789,238,1
1,4419,507,1
1,3710,278,1
1,3725,105,1
1,4237,612,1
1,3810,105,1
1,4251,804,1
1,3573,2,1
1,1296,118,1
1,177,23,1
1,765,107,1
1,1027,191,1
1,3852,146,1
1,3889,167,1
1,671,32,1
1,3831,50,1
1,3736,124,1
1,636,1,1
1,1239,546,1
1,3634,50,1
1,3638,35,1
